,Date,Daily Brokerage,Signals
354,2020-06-12,80,"beginx, hold, squareoff"
355,2020-06-15,80,"beginx, hold, squareoff"
356,2020-06-16,80,"beginx, hold, squareoff"
357,2020-06-17,140,"beginx, hold, hard-squareoff, buy"
358,2020-06-18,220,"beginx, squareoff, hold, buy"
359,2020-06-19,80,"beginx, hold, squareoff"
360,2020-06-22,140,"beginx, hold, hard-squareoff, buy"
361,2020-06-23,220,"beginx, squareoff, hold, buy"
362,2020-06-24,80,"beginx, hold, squareoff"
363,2020-06-25,140,"beginx, hold, hard-squareoff, sell"
364,2020-06-26,220,"beginx, squareoff, hold, sell"
365,2020-06-29,80,"beginx, hold, squareoff"
366,2020-06-30,220,"beginx, squareoff, hold, buy"
367,2020-07-01,220,"beginx, squareoff, hold, buy"
368,2020-07-02,80,"beginx, hold, squareoff"
369,2020-07-03,80,"beginx, hold, squareoff"
370,2020-07-06,80,"beginx, hold, squareoff"
371,2020-07-07,140,"beginx, squareoff, hold, buy"
372,2020-07-08,220,"beginx, squareoff, hold, buy"
373,2020-07-09,140,"beginx, squareoff, hold, buy"
374,2020-07-10,140,"beginx, squareoff, hold, sell"
375,2020-07-13,140,"beginx, squareoff, hold, sell"
376,2020-07-14,80,"beginx, hold, squareoff"
377,2020-07-15,80,"beginx, hold, squareoff"
378,2020-07-16,140,"beginx, squareoff, hold, buy"
379,2020-07-17,80,"beginx, hold, squareoff"
380,2020-07-20,140,"beginx, squareoff, hold, buy"
381,2020-07-21,80,"beginx, hold, squareoff"
382,2020-07-22,140,"beginx, squareoff, hold, sell"
383,2020-07-23,140,"beginx, squareoff, hold, buy"
384,2020-07-24,140,"beginx, hold, hard-squareoff, sell"
385,2020-07-27,140,"beginx, squareoff, hold, sell"
386,2020-07-28,80,"beginx, hold, squareoff"
387,2020-07-29,140,"beginx, squareoff, hold, sell"
388,2020-07-30,140,"beginx, hold, hard-squareoff, buy"
389,2020-07-31,140,"beginx, hold, hard-squareoff, sell"
390,2020-08-03,80,"beginx, hold, squareoff"
391,2020-08-04,80,"beginx, hold, squareoff"
392,2020-08-05,80,"beginx, hold, squareoff"
393,2020-08-06,140,"beginx, hold, hard-squareoff, buy"
394,2020-08-07,140,"beginx, squareoff, hold, buy"
395,2020-08-10,80,"beginx, hold, squareoff"
396,2020-08-11,140,"beginx, squareoff, hold, buy"
397,2020-08-12,80,"beginx, hold, squareoff"
398,2020-08-13,140,"beginx, squareoff, hold, sell"
399,2020-08-14,220,"hard-squareoff, beginx, squareoff, hold, buy"
400,2020-08-17,80,"beginx, hold, squareoff"
401,2020-08-18,80,"beginx, hold, squareoff"
402,2020-08-19,140,"beginx, squareoff, hold, buy"
403,2020-08-20,80,"beginx, hold, squareoff"
404,2020-08-21,140,"beginx, squareoff, hold, buy"
405,2020-08-24,80,"beginx, hold, squareoff"
406,2020-08-25,80,"beginx, hold, squareoff"
407,2020-08-26,220,"beginx, squareoff, hold, buy"
408,2020-08-27,80,"beginx, hold, squareoff"
409,2020-08-28,140,"beginx, squareoff, hold, buy"
410,2020-08-31,220,"beginx, squareoff, hold, sell"
411,2020-09-01,80,"beginx, hold, squareoff"
412,2020-09-02,220,"beginx, squareoff, hold, sell"
413,2020-09-03,140,"beginx, squareoff, hold, buy"
414,2020-09-04,220,"beginx, squareoff, hold, sell"
415,2020-09-07,80,"beginx, hold, squareoff"
416,2020-09-08,140,"beginx, hold, hard-squareoff, buy"
417,2020-09-09,80,"beginx, hold, squareoff"
418,2020-09-10,80,"beginx, hold, squareoff"
419,2020-09-11,140,"beginx, squareoff, hold, buy"
420,2020-09-14,220,"beginx, squareoff, hold, sell"
421,2020-09-15,140,"beginx, squareoff, hold, buy"
422,2020-09-16,80,"beginx, hold, squareoff"
423,2020-09-17,140,"beginx, squareoff, hold, sell"
424,2020-09-18,220,"beginx, squareoff, hold, buy"
425,2020-09-21,220,"beginx, squareoff, hold, sell"
426,2020-09-22,140,"beginx, squareoff, hold, sell"
427,2020-09-23,220,"beginx, squareoff, hold, sell"
428,2020-09-24,80,"beginx, hold, squareoff"
429,2020-09-25,140,"beginx, squareoff, hold, buy"
430,2020-09-28,80,"beginx, hold, squareoff"
431,2020-09-29,140,"beginx, squareoff, hold, buy"
432,2020-09-30,140,"beginx, squareoff, hold, buy"
433,2020-10-01,80,"beginx, hold, squareoff"
434,2020-10-05,80,"beginx, hold, squareoff"
435,2020-10-06,220,"beginx, squareoff, hold, buy"
436,2020-10-07,80,"beginx, hold, squareoff"
437,2020-10-08,80,"beginx, hold, squareoff"
438,2020-10-09,140,"beginx, squareoff, hold, buy"
439,2020-10-12,140,"beginx, squareoff, hold, sell"
440,2020-10-13,220,"beginx, squareoff, hold, buy"
441,2020-10-14,140,"beginx, hold, hard-squareoff, sell"
442,2020-10-15,220,"beginx, squareoff, hold, sell"
443,2020-10-16,80,"beginx, hold, squareoff"
444,2020-10-19,140,"beginx, squareoff, hold, buy"
445,2020-10-20,80,"beginx, hold, squareoff"
446,2020-10-21,80,"beginx, hold, hard-squareoff"
447,2020-10-22,80,"beginx, hold, squareoff"
448,2020-10-23,140,"beginx, squareoff, hold, buy"
449,2020-10-26,220,"beginx, squareoff, hold, sell"
450,2020-10-27,140,"beginx, squareoff, hold, buy"
451,2020-10-28,220,"beginx, squareoff, hold, sell"
452,2020-10-29,140,"beginx, squareoff, hold, sell"
453,2020-10-30,220,"beginx, squareoff, hold, sell"
454,2020-11-02,140,"beginx, hold, hard-squareoff, sell"
455,2020-11-03,80,"beginx, hold, squareoff"
456,2020-11-04,140,"beginx, hold, hard-squareoff, buy"
457,2020-11-05,80,"beginx, hold, squareoff"
458,2020-11-06,80,"beginx, hold, squareoff"
459,2020-11-09,220,"beginx, squareoff, hold, buy"
